,0
0,1
1,6
2,3
3,7
4,1
5,3
6,4
7,4
8,4
9,5
10,7
11,8
12,4
13,7
14,2
15,6
16,1
17,1
18,6
19,4
20,5
21,4
22,8
23,0
24,1
25,7
26,1
27,1
28,7
29,2
30,6
31,4
32,6
33,8
34,5
35,8
36,1
37,2
38,6
39,2
40,2
41,5
42,4
43,4
44,4
45,0
46,4
47,8
48,1
49,1
50,4
51,7
52,0
53,7
54,8
55,7
56,1
57,3
58,1
59,2
60,1
61,8
62,4
63,0
64,5
65,4
66,8
67,1
68,6
69,7
70,1
71,7
72,8
73,5
74,2
75,4
76,6
77,1
78,5
79,5
80,4
81,8
82,0
83,1
84,0
85,1
86,5
87,6
88,8
89,3
90,6
91,4
92,5
93,6
94,2
95,1
96,4
97,4
98,8
99,1
100,8
101,7
102,6
103,1
104,1
105,1
106,8
107,3
108,4
109,5
110,0
111,2
112,0
113,4
114,4
115,5
116,4
117,1
118,4
119,8
120,6
121,5
122,4
123,4
124,1
125,4
126,7
127,0
128,0
129,0
130,8
131,8
132,6
133,1
134,0
135,2
136,7
137,3
138,8
139,5
140,4
141,1
142,6
143,2
144,5
145,2
146,0
147,8
148,7
149,4
150,1
151,6
152,0
153,6
154,2
155,0
156,8
157,7
158,6
159,4
160,4
161,8
162,0
163,1
164,8
165,6
166,1
167,4
168,2
169,4
170,4
171,5
172,9
173,6
174,9
175,2
176,2
177,6
178,2
179,0
180,2
181,6
182,0
183,7
184,0
185,1
186,9
187,6
188,7
189,4
190,3
191,4
192,7
193,4
194,7
195,0
196,2
197,4
198,4
199,9
200,8
201,8
202,3
203,2
204,3
205,6
206,4
207,6
208,8
209,4
210,1
211,0
212,1
213,2
214,4
215,7
216,6
217,0
218,0
219,0
220,1
221,6
222,8
223,5
224,3
225,9
226,6
227,4
228,3
229,4
230,0
231,0
232,0
233,4
234,4
235,1
236,8
237,9
238,1
239,2
240,6
241,6
242,0
243,4
244,9
245,4
246,7
247,8
248,1
249,9
250,4
251,4
252,4
253,0
254,1
255,4
256,9
257,4
258,8
259,8
260,0
261,0
262,1
263,4
264,4
265,2
266,6
267,2
268,7
269,7
270,6
271,7
272,2
273,1
274,1
275,1
276,2
277,6
278,9
279,2
280,9
281,5
282,4
283,0
284,1
285,9
286,4
287,1
288,3
289,6
290,4
291,9
292,1
293,8
294,7
295,4
296,7
297,7
298,9
299,0
300,2
301,4
302,2
303,1
304,4
305,7
306,9
307,4
308,5
309,6
310,6
311,7
312,7
313,6
314,2
315,1
316,4
317,2
318,6
319,7
320,2
321,0
322,4
323,0
324,6
325,5
326,8
327,7
328,4
329,2
330,2
331,9
332,2
333,6
334,6
335,6
336,1
337,1
338,7
339,4
340,4
341,1
342,2
343,6
344,6
345,2
346,8
347,0
348,3
349,4
350,4
351,6
352,7
353,8
354,9
355,0
356,0
357,2
358,4
359,4
360,1
361,8
362,6
363,9
364,6
365,7
366,4
367,6
368,4
369,6
370,4
371,9
372,7
373,6
374,6
375,0
376,4
377,2
378,2
379,1
380,7
381,1
382,6
383,4
384,8
385,2
386,8
387,9
388,3
389,4
390,8
391,0
392,4
393,2
394,5
395,6
396,8
397,6
398,1
399,1
400,8
401,6
402,7
403,5
404,9
405,1
406,7
407,7
408,6
409,2
410,1
411,2
412,6
413,1
414,4
415,1
416,2
417,4
418,8
419,2
420,5
421,8
422,4
423,6
424,7
425,1
426,5
427,2
428,5
429,6
430,3
431,6
432,4
433,0
434,4
435,0
436,0
437,6
438,1
439,4
440,7
441,7
442,6
443,0
444,0
445,7
446,4
447,5
448,0
449,7
450,6
451,0
452,9
453,6
454,1
455,3
456,6
457,0
458,0
459,7
460,4
461,8
462,8
463,8
464,5
465,0
466,0
467,6
468,5
469,6
470,0
471,4
472,8
473,2
474,0
475,1
476,2
477,8
478,0
479,6
480,3
481,4
482,1
483,0
484,4
485,7
486,1
487,1
488,5
489,3
490,8
491,0
492,8
493,6
494,1
495,8
496,4
497,4
498,8
499,4
500,6
501,1
502,0
